Target,Prime,Tick(s),RT,LD,SD,LD+SD,LD*SD,Target_Length,Prime_Length,Target_Frequency,Prime_Frequency
vanto,vantaggio,2,opaque,538.2795,0.00167942384709,0.744591172643,0.74627059649,0.00125048417167,5,9,109,2571
vino,vinile,2,opaque,538.9573,0.00774375780197,0.780787586152,0.788531343954,0.00604622996194,4,6,6498,89
viola,violenza,2,opaque,566.7372,0.00304552350704,0.834352355853,0.83739787936,0.00254103971291,5,8,1107,3312
vite,vitello,2,opaque,598.8467,0.00155884740136,0.706406195717,0.707965043118,0.0011011794625,4,7,5550,390
abito,abitudine,3,opaque,559.9973,0.00332636602376,0.630303308804,0.633629674828,0.00209661951107,5,9,2642,1455
artiglio,artigliere,3,opaque,590.6707,4.57854493841e-05,0.425130596296,0.425176381746,1.94647953983e-05,8,10,124,109
asta,astuccio,3,opaque,631.02235,0.00747214202471,0.628713130418,0.636185272442,0.00469783380328,4,8,1463,57
ballo,ballatoio,3,opaque,497.8784,0.00122940089503,0.594702448296,0.595931849191,0.00073112772221,5,9,7440,13
bara,barella,3,opaque,557.7013,0.00735845170487,0.582743003046,0.590101454751,0.00428808624427,4,7,1243,440
bile,bilico,3,opaque,748.4425,0.00774375780197,0.908577698742,0.916321456544,0.00703580564333,4,6,87,103
boccia,bocciolo,3,opaque,544.4638,0.000463396339029,0.540972427188,0.541435823527,0.000250684642275,6,8,145,73
bordo,bordello,3,opaque,569.6896,0.00183318210983,0.746660207779,0.748493389889,0.00136876413502,5,8,5785,603
botte,bottino,3,opaque,518.08895,0.00333697264645,0.707938067343,0.711275039989,0.0023623699661,5,7,1590,542
botto,bottone,3,opaque,530.554,0.000464705634091,0.566876541269,0.567341246903,0.000263430722562,5,7,337,952
branda,brandello,3,opaque,663.1528,0.000463616173641,0.557811309412,0.558274925586,0.000258610344884,6,9,174,38
briga,brigante,3,opaque,782.6667,0.000480774761932,0.64761514791,0.648095922672,0.00031135701856,5,8,217,98
bullo,bullone,3,opaque,561.60105,0.000463327643831,0.530976203125,0.531439530769,0.000246015953124,5,7,319,78
burro,burrone,3,opaque,584.2357,0.000463327643831,0.673690982825,0.674154310469,0.000312139655743,5,7,1677,200
calvo,calvario,3,opaque,578.8682,0.00158190188824,0.70073818277,0.702320084658,0.00110849905449,5,8,377,68
cane,canaglia,3,opaque,506.1447,0.00783568870893,0.794363092942,0.802198781651,0.00622438191816,4,8,13494,453
cancello,cancelliere,3,opaque,626.0525,4.77761632789e-05,0.774874189327,0.774921965491,3.70205157899e-05,8,11,1888,657
canotta,canottaggio,3,opaque,657.2222,2.43415782113e-05,0.265685698826,0.265710040404,6.46720921759e-06,7,11,33,49
canto,cantina,3,opaque,539.7318,0.00293255131965,0.817892255258,0.820824806577,0.00239851101249,5,7,1764,1491
capo,capienza,3,opaque,574.61175,0.0136666405762,0.93700598636,0.950672626937,0.0128057240334,4,8,33050,26
cappa,cappone,3,opaque,620.5187,0.00194742151711,0.567042112981,0.568989534498,0.00110427001193,5,7,132,16
